REF_AREA,REF_AREA_LABEL,TIME_PERIOD,Domestic credit to private sector (% of GDP),Domestic credit to private sector by banks (% of GDP),"Foreign direct investment, net inflows (BoP, current US$)","Foreign direct investment, net outflows (% of GDP)",Market capitalization of listed domestic companies (% of GDP),Monetary Sector credit to private sector (% GDP),"Portfolio equity, net inflows (BoP, current US$)","Stocks traded, total value (% of GDP)","Stocks traded, turnover ratio of domestic shares (%)",Domestic credit to private sector (% of GDP)_Gap,Domestic credit to private sector by banks (% of GDP)_Gap,"Foreign direct investment, net inflows (BoP, current US$)_Gap","Foreign direct investment, net outflows (% of GDP)_Gap",Market capitalization of listed domestic companies (% of GDP)_Gap,Monetary Sector credit to private sector (% GDP)_Gap,"Portfolio equity, net inflows (BoP, current US$)_Gap","Stocks traded, total value (% of GDP)_Gap","Stocks traded, turnover ratio of domestic shares (%)_Gap",target_credit_gap2,Domestic credit to private sector (% of GDP)_Gap_Lag1,Domestic credit to private sector by banks (% of GDP)_Gap_Lag1,"Foreign direct investment, net inflows (BoP, current US$)_Gap_Lag1","Foreign direct investment, net outflows (% of GDP)_Gap_Lag1",Market capitalization of listed domestic companies (% of GDP)_Gap_Lag1,Monetary Sector credit to private sector (% GDP)_Gap_Lag1,"Portfolio equity, net inflows (BoP, current US$)_Gap_Lag1","Stocks traded, total value (% of GDP)_Gap_Lag1","Stocks traded, turnover ratio of domestic shares (%)_Gap_Lag1"
ARG,Argentina,1991,-1.157446362674867,-1.1346040792137404,-0.29757488507658486,-0.5853854963027759,-0.9389456041223061,-1.139112705607135,-0.18249037911945745,-0.6584085792418946,-0.7219239901566799,-1.5249875162621438,-1.3891443541048807,-0.019979441644881173,-0.2553579586691704,0.08300621048931645,-1.443999638888395,-0.03876126998729334,-0.37293964024951787,-1.754770161468943,-2.0321186485896696,-1.0314567377489785,-0.9324253621022514,-0.009254494953347391,-0.18673279568804205,-0.35577262203681387,-0.9693687379789786,-0.02479082070516833,-0.3784519559113536,-1.5929546539895625
ARG,Argentina,1992,-1.0978358943575806,-1.0651014716933502,-0.2776927105904777,-0.2888980052821594,-0.9762229594630069,-1.0694778215044674,-0.16654293001405157,-0.5666965001802448,0.13886478599888738,-0.9451961718538445,-0.8591727165821761,0.011080906080421749,0.23532365851999018,-0.17204859802386085,-0.8934180890737207,-0.014005613755736298,-0.21314483940359158,-0.03398567286077603,-0.043457591653133676,-1.5359251583755245,-1.3890906490706152,-0.01029162720600583,-0.2519344318848707,0.09697969999424766,-1.444168362160516,-0.028316068355782924,-0.3701912211777679,-1.762675396722549
ARG,Argentina,1993,-1.0387307438646969,-0.9961880376422172,-0.294040714724099,-0.41875231169965477,-0.7445703166583184,-1.000433232179388,-0.10797710023987783,-0.2773229249377413,0.5462599757066614,-0.3966556994791034,-0.35773362455490415,-0.04627209247517435,-0.0780650550861095,0.5178518720179219,-0.37251299739047267,0.08395310077265226,0.5004169343611966,0.7352319869766171,-0.30533230324777705,-0.94963660108902,-0.8581010095279851,0.02161028357431821,0.24710760754476166,-0.1630808385183969,-0.8923606071461679,0.000498001906094681,-0.20740746592723075,-0.029506769684808625
ARG,Argentina,1994,-0.997152717966734,-0.9477102904103485,-0.2856381408124811,-0.3601366461182944,-0.8394619080774762,-0.9518632226432817,-0.1270409615015307,0.1893660442958308,3.311298279819671,-0.021204095308081997,-0.014450012793497816,-0.044158974890958,-0.029424780877828093,0.07089224110732574,-0.0159765845955395,0.055234020890467396,1.7267654611668863,6.911999205108689,-0.06289164193849217,-0.3949491169389187,-0.35569872254382884,-0.037296662963635784,-0.07162074357650343,0.5403596839523769,-0.37029540297427366,0.11451595629932661,0.5195014480158706,0.7452467942968645
ARG,Argentina,1995,-1.003045397180251,-0.9545808381879755,-0.26593049622914816,-0.24561739957319903,-0.8323283612682414,-0.9587468463702986,-0.16209351093874716,-0.45445984647115995,0.13780598439501932,-0.0708783431952722,-0.05965494930674634,-0.014173524667269899,0.13532988801643198,-0.007536707914860943,-0.06314825187097808,0.002623442582624196,-0.025302151218858246,-0.11742437030002804,1.7647971167423258,-0.015290156067441343,-0.011755710570339315,-0.03512629161956073,-0.0221517176562605,0.08462798069371374,-0.012964944677108896,0.0810887032367766,1.7687887676444773,6.966466958618885
ARG,Argentina,1996,-0.9988414537112216,-0.9496792656753982,-0.252564640619908,-0.24073232920930054,-0.7929651227438986,-0.9538359452399489,-0.17109459327435153,-0.47209719515253673,-0.06834202147842716,-0.02528053460153572,-0.01780472774094477,0.0023502951358610204,0.10834649610841686,0.03872369940989024,-0.019847653533634296,-0.0045261482044065705,-0.04331472304655948,-0.3711400737211747,4.115253913681677,-0.06552105966569113,-0.05704747949766987,-0.004328402098038462,0.14541010469513457,0.00465977763732303,-0.06024166840369422,0.019853206762730533,-0.016051188894478118,-0.1135459585779944
ARG,Argentina,1997,-0.9628655467575576,-0.9077332885379316,-0.2304890358822617,0.1633618922408877,-0.7086524790995453,-0.9118101369897514,-0.15201791006944526,-0.44050659399481007,-0.14797117251070444,0.3198023412599116,0.29769176979805,0.043236000024514915,0.8554136269149032,0.2552254134237009,0.3078500025950538,0.03615043786924783,0.09660552385939439,-0.2689505359742588,5.19755365859913,-0.019412276439321096,-0.015116869459972947,0.012643121523385934,0.11796695937079332,0.05182809612863085,-0.016844634908201584,0.011531520221512144,-0.03440068505024112,-0.36908760267545754
ARG,Argentina,1998,-0.9193309542523761,-0.856974289626153,-0.2491498940656847,-0.12442926421893323,-0.8207992326619488,-0.8609545341211513,-0.1852447303943437,-0.5290581627990588,-0.2480150222667778,0.763715179000429,0.7034287332328586,-0.00965223577455426,0.31670588680148776,-0.20456110023209842,0.7293985830334783,-0.010673862956783749,-0.07341826042870148,-0.1719370882022945,4.996882982077441,0.32953764043044464,0.3009856530981635,0.0546366021207051,0.8777629074728993,0.2725788934320005,0.31158283966427747,0.058876579394111256,0.1081367636424407,-0.2661626274638911
ARG,Argentina,1999,-0.9076640422345176,-0.8433712962284816,-0.08249467627538991,-0.2271874455428945,-0.7204795344873143,-0.847325651659176,-0.32403061248137605,-0.6218557909624383,-0.7672195553411705,0.9682168594308035,0.8902558268432952,0.39105277368864555,0.14440627617887306,0.09162261720016127,0.923597501725458,-0.2355589313509799,-0.24690703755589696,-1.0044935759273221,2.9423736881133706,0.7784250198470052,0.7075019809726728,0.00031538863293210283,0.3298764575529939,-0.19623143419607442,0.7340702547974397,0.004375956128681955,-0.065067307715361,-0.16845099350144693
ARG,Argentina,2000,-0.9283965289529705,-0.8675442632926654,-0.21793235992973123,-0.4069726507947736,-0.79944702025874,-0.8715446244428693,-0.2248916138002327,-0.6416205545867796,-0.7856761740582523,0.9305795902959608,0.8556159597977323,0.0681432377187958,-0.16557105575692996,-0.23102179514295562,0.8878563921505959,-0.06675767057063607,-0.22167516833114556,-0.725383199117442,-1.0441470291170951,0.9852183711767836,0.8946879435210046,0.41187728015387537,0.15464113985228295,0.10576521312504793,0.9287016756754284,-0.2573765137289898,-0.241801184444044,-1.0069992221229571
