REF_AREA,REF_AREA_LABEL,TIME_PERIOD,Domestic credit to private sector (% of GDP),Domestic credit to private sector by banks (% of GDP),Monetary Sector credit to private sector (% GDP),Market capitalization of listed domestic companies (% of GDP),"Stocks traded, total value (% of GDP)","Stocks traded, turnover ratio of domestic shares (%)","Foreign direct investment, net inflows (BoP, current US$)","Foreign direct investment, net outflows (% of GDP)","Portfolio equity, net inflows (BoP, current US$)"
ARG,Argentina,2020,13.4554773,13.4554773,13.4554773,8.360651602,0.738812735,8.8368,4884127676.0,0.305173266,-118108746.0
ARG,Argentina,2021,11.24178267,11.24178267,11.24178267,8.557276059,0.536873579,6.2739,6902840208.0,0.314974763,-4073225.783
ARG,Argentina,2022,10.68906825,10.68906825,10.68906825,8.389324873,1.261322915,15.0349,15408346794.0,0.329003496,-278845536.8
ARG,Argentina,2023,12.00247878,12.00247878,12.00247878,8.389324873,1.261322915,15.0349,15408346794.0,0.329003496,26128847.89
AUS,Australia,1960,19.11635466,18.69860952,19.11635466,28.87001638,1.203457021,5.149059562,893138535.5,0.269427026,91840014.71
AUS,Australia,1961,17.6294526,17.25048367,17.6294526,28.87001638,1.203457021,5.149059562,893138535.5,0.269427026,98560015.78
AUS,Australia,1962,18.64740274,18.52822127,18.64740274,28.87001638,1.203457021,5.149059562,893138535.5,0.269427026,88480014.17
AUS,Australia,1963,19.28348586,19.15973378,19.28348586,28.87001638,1.203457021,5.149059562,893138535.5,0.269427026,62720010.04
AUS,Australia,1964,20.11152416,19.90541622,20.11152416,28.87001638,1.203457021,5.149059562,893138535.5,0.269427026,40320006.46
AUS,Australia,1965,21.12663304,20.60233691,21.12663304,28.87001638,1.203457021,5.149059562,893138535.5,0.269427026,125440020.1
AUS,Australia,1966,22.38085473,21.99737511,22.38085473,28.87001638,1.203457021,5.149059562,893138535.5,0.269427026,188160030.1
AUS,Australia,1967,23.09591259,22.31889923,23.09591259,28.87001638,1.203457021,5.149059562,893138535.5,0.269427026,310240049.7
AUS,Australia,1968,23.99739806,23.52083262,23.99739806,28.87001638,1.203457021,5.149059562,893138535.5,0.269427026,473760075.9
AUS,Australia,1969,24.82245901,23.57249718,24.82245901,28.87001638,1.203457021,5.149059562,893138535.5,0.269427026,334880053.6
AUS,Australia,1970,23.27760466,22.26527571,23.27760466,28.87001638,1.203457021,5.149059562,893138535.5,0.269427026,464800074.4
AUS,Australia,1971,23.61562469,23.00009908,23.61562469,28.87001638,1.203457021,5.149059562,1155158059.0,0.231105313,843229248.3
AUS,Australia,1972,24.66945024,24.22228208,24.66945024,28.87001638,1.203457021,5.149059562,1054014675.0,0.247442019,716766523.9
AUS,Australia,1973,28.36551586,28.12244079,28.36551586,28.87001638,1.203457021,5.149059562,135039666.1,0.40084774,-516303847.3
AUS,Australia,1974,27.85692986,27.6379179,27.85692986,28.87001638,1.203457021,5.149059562,1327729912.0,0.270766085,-549324913.5
AUS,Australia,1975,27.33871307,27.11557084,27.33871307,28.87001638,1.203457021,5.149059562,449028697.2,0.165485055,474655163.1
